"시점",전국,전국,전국,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
"시점",계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명)
"1997.01",63268,33266,30002,13205,6886,6319,4201,2260,1941,3345,1764,1581,3646,1878,1768,2166,1106,1060,2003,1055,948,1754,935,819,-,-,-,13440,7086,6354,1794,917,877,2075,1101,974,2259,1157,1102,2579,1362,1217,2685,1413,1272,3362,1802,1560,4020,2171,1849,734,373,361
"1997.02",58144,30086,28058,12239,6224,6015,3910,2104,1806,2994,1608,1386,3193,1646,1547,1910,985,925,1869,927,942,1569,838,731,-,-,-,12334,6410,5924,1648,844,804,1798,901,897,2082,1023,1059,2261,1150,1111,2547,1286,1261,3257,1751,1506,3796,2003,1793,737,386,351
"1997.03",62160,32333,29827,13358,6947,6411,4304,2234,2070,3337,1815,1522,3466,1789,1677,2013,1030,983,1894,947,947,1771,946,825,-,-,-,13058,6764,6294,1831,952,879,1988,1058,930,2205,1124,1081,2364,1186,1178,2457,1246,1211,3343,1754,1589,4021,2122,1899,750,419,331
"1997.04",56949,29449,27500,12146,6152,5994,3872,2026,1846,3025,1603,1422,3189,1639,1550,1695,865,830,1666,852,814,1569,844,725,-,-,-,12101,6271,5830,1670,844,826,1750,907,843,2063,1099,964,2203,1116,1087,2348,1203,1145,3183,1677,1506,3800,2002,1798,669,349,320
"1997.05",55270,28830,26440,11637,6036,5601,3826,2012,1814,2855,1501,1354,3074,1619,1455,1799,906,893,1765,893,872,1479,753,726,-,-,-,11644,6083,5561,1650,869,781,1734,861,873,1966,996,970,2085,1114,971,2290,1204,1086,3024,1589,1435,3716,1978,1738,726,416,310
"1997.06",50978,26713,24265,10694,5568,5126,3529,1840,1689,2605,1344,1261,2896,1493,1403,1576,805,771,1525,804,721,1350,713,637,-,-,-,10846,5764,5082,1514,807,707,1629,828,801,1890,973,917,1992,1056,936,2207,1171,1036,2760,1498,1262,3309,1705,1604,656,344,312
"1997.07",53369,27704,25665,11239,5873,5366,3669,1911,1758,2715,1374,1341,3001,1589,1412,1741,883,858,1659,878,781,1441,744,697,-,-,-,11220,5700,5520,1618,848,770,1691,875,816,2011,1059,952,2112,1076,1036,2256,1175,1081,2978,1552,1426,3321,1792,1529,697,375,322
"1997.08",53254,27623,25631,11242,5718,5524,3649,1926,1723,2805,1445,1360,3030,1575,1455,1670,904,766,1599,816,783,1362,726,636,-,-,-,11353,5859,5494,1594,815,779,1647,820,827,1928,1018,910,2140,1124,1016,2153,1129,1024,3000,1595,1405,3401,1804,1597,681,349,332
"1997.09",55461,28907,26554,11757,6085,5672,3850,1972,1878,2896,1549,1347,3106,1639,1467,1713,885,828,1649,811,838,1536,833,703,-,-,-,11942,6198,5744,1652,850,802,1698,866,832,2027,1084,943,2078,1108,970,2203,1128,1075,3002,1612,1390,3642,1914,1728,710,373,337
"1997.10",57136,29576,27560,12313,6275,6038,3880,2042,1838,2955,1535,1420,3234,1647,1587,1863,999,864,1688,876,812,1507,815,692,-,-,-,12155,6297,5858,1663,832,831,1720,901,819,2109,1082,1027,2198,1149,1049,2235,1149,1086,3110,1635,1475,3814,1984,1830,692,358,334
"1997.11",53848,28036,25812,11380,5872,5508,3734,1987,1747,2756,1481,1275,3148,1625,1523,1739,899,840,1650,868,782,1408,728,680,-,-,-,11234,5852,5382,1546,800,746,1643,847,796,1981,1037,944,2076,1071,1005,2309,1162,1147,2978,1543,1435,3566,1916,1650,700,348,352
"1997.12",55557,28406,27151,11514,5884,5630,3860,2006,1854,2931,1538,1393,3120,1553,1567,1799,925,874,1513,822,691,1527,810,717,-,-,-,11675,5916,5759,1641,827,814,1730,875,855,2030,1062,968,2182,1102,1080,2390,1178,1212,3120,1645,1475,3732,1904,1828,793,359,434
"1998.01",60347,31603,28744,12759,6594,6165,3960,2086,1874,2970,1591,1379,3370,1747,1623,2009,1086,923,1744,924,820,1568,837,731,-,-,-,13118,6745,6373,1708,922,786,1892,972,920,2353,1218,1135,2558,1357,1201,2480,1298,1182,3333,1776,1557,3846,2052,1794,679,398,281
"1998.02",56841,29806,27035,11905,6183,5722,3793,1996,1797,2960,1563,1397,3163,1671,1492,1893,965,928,1571,837,734,1467,753,714,-,-,-,12056,6272,5784,1707,893,814,1784,949,835,2128,1163,965,2425,1296,1129,2421,1243,1178,3140,1683,1457,3677,1922,1755,751,417,334
"1998.03",60238,31421,28817,12447,6489,5958,4040,2079,1961,3090,1648,1442,3409,1756,1653,1965,1019,946,1837,966,871,1711,911,800,-,-,-,12849,6658,6191,1753,876,877,1892,954,938,2250,1167,1083,2312,1209,1103,2517,1317,1200,3371,1831,1540,4058,2154,1904,737,387,350
"1998.04",54814,28605,26209,11520,5926,5594,3777,1999,1778,2763,1507,1256,2925,1499,1426,1751,893,858,1666,875,791,1557,839,718,-,-,-,11737,6133,5604,1712,932,780,1645,855,790,2014,1041,973,2072,1039,1033,2329,1141,1188,3036,1597,1439,3672,1977,1695,638,352,286
"1998.05",52046,27375,24671,11112,5906,5206,3556,1915,1641,2644,1460,1184,2875,1444,1431,1721,882,839,1575,786,789,1391,746,645,-,-,-,10915,5744,5171,1613,834,779,1643,862,781,1942,1036,906,2088,1042,1046,2099,1136,963,2798,1445,1353,3418,1804,1614,656,333,323
